s1_corr0,s1_corr_offset,s1_offset,s2_corr0,s2_corr_offset,s2_offset,devID
0.0140268717432049,0.3221276010108368,-11.64,0.0228556118453763,0.2405639492700002,-11.7,06fad321-8a49-062e-1e84-26704be216b8_deviceMotion.csv
0.0231331740001289,0.3467999831796559,-7.18,0.0038914061310351,,,09d8163d-80e7-fda3-6919-6a3febc78e27_deviceMotion.csv
,,,0.0024351988278304,0.0484230130742716,-33.14,10550c8a-ad24-2550-6344-a0f8b85a4739_deviceMotion.csv
0.120967851210065,0.2799548828159862,-9.34,,,,1263f72c-512d-d97e-0fb1-561d37f92d7a_deviceMotion.csv
0.0097460444501935,0.2079192610806982,-32.74,,,,201c5bcf-081c-b8a2-2be3-f62ee4d10c78_deviceMotion.csv
0.019590290112857,0.6342803675486237,-13.96,,,,214d0cc9-4279-d09c-77aa-ada046ae803f_deviceMotion.csv
0.0121385235316555,0.4981349854614602,-23.2,,,,2d115485-bff7-ac99-1682-e3cb88d2f4de_deviceMotion.csv
0.0165303234434824,0.4659045154120059,-21.96,0.0165930600905426,0.417500374800143,-21.7,34ac3d64-2d05-396e-a6ed-2ec90ba73dfd_deviceMotion.csv
0.0254168407004045,0.171119250084764,-7.42,,,,3bcb5d6e-b345-47a8-975d-ffcc14ba0a00_deviceMotion.csv
0.0135032319834458,0.2962532068169107,-7.28,,,,3ee0563f-807c-89a7-0a65-71557f6a9775_deviceMotion.csv
0.0265179508021338,0.5128491925094127,-33.86,0.0411400666446992,0.2105700731322047,-34.980000000000004,4120c5ac-063e-a105-45b3-812340ad7273_deviceMotion.csv
0.0531697195684164,0.1311995194787068,-10.42,0.0213967255765264,0.1576875739809216,-10.7,49d38fe8-2daf-4dc0-8297-5a872da374fb_deviceMotion.csv
0.0067750903733438,0.2404659605910664,-7.32,0.0075677219225658,0.2719055288612778,-7.42,4b23fcfc-a2bd-ec20-203c-fd0e6125f070_deviceMotion.csv
0.0535877389871511,0.1976667336334507,-15.16,,,,4deab979-564b-2a7d-8263-ffe4ee4d097e_deviceMotion.csv
0.0043229188293975,0.1825190112856724,-30.66,,,,689d4b0e-6e58-049a-5329-e448a3011643_deviceMotion.csv
0.0456203338885966,,,0.0084290506850329,0.1246227232227407,-22.32,6a917350-972c-f470-86e4-f4d548a6eddb_deviceMotion.csv
0.0317052499717501,0.1759151424923258,-23.28,0.0084290506850329,0.1246227232227407,-22.32,773201e8-aa19-f0e1-66c1-f00094966479_deviceMotion.csv
0.0129130901765915,0.2033095369652683,-35.02,0.0115541316208876,,,79a4a3b0-0f51-5628-3dfd-e19affccb5cb_deviceMotion.csv
0.0152345307136097,0.5845178819864925,-7.76,0.0241919343443994,0.2367647356843766,-8.26,7b1c85e4-324d-d4bc-b97f-b739ff1bbf3d_deviceMotion.csv
0.0400634546211153,,,7.138606854249785e-06,0.2579244629937114,-53.84,7c69fa04-03a8-e450-a5ed-d6df5d2f15b6_deviceMotion.csv
,,,0.0115066678424036,0.2309079309843638,-30.66,90879589-3fb5-8126-8921-c9291bfdfd1d_deviceMotion.csv
,,,0.094483439875498,0.3163264841409825,-14.04,92440f7d-565b-5a89-3bce-e754d9be6612_deviceMotion.csv
0.0158583213612185,0.3277396547083857,-6.32,,,,a6bfb8e8-9401-242e-3313-0b50d44a0474_deviceMotion.csv
0.2333278648135975,0.3176782773544656,-14.62,0.0823046128424528,0.3180940424884442,-12.96,b846a3aa-0204-a2dd-1a1a-25d0ef747964_deviceMotion.csv
0.0343385332316505,0.1012030998416765,-31.14,0.0981428656481002,0.4234099599953255,-31.24,bdcfceb4-855c-db65-99b7-68251eae3cff_deviceMotion.csv
0.0052303712964154,0.3514772058348566,-7.72,0.0105183472726643,0.3530128103050106,-9.54,c0d03f48-86ee-660c-8da8-9bf554545ac9_deviceMotion.csv
0.0,0.3065652926781686,-35.300000000000004,0.0773394600866459,0.2557196689963746,-36.14,c2755072-941f-014f-3577-80432697840b_deviceMotion.csv
0.0517801640181673,0.1520475492286763,-7.140000000000001,0.0424231004214975,0.1407172443938305,-9.84,c7abdacc-8973-b681-5fd0-c55857b08950_deviceMotion.csv
,,,0.0463135735711568,0.1001906489570201,-9.68,cbda4462-d6ad-c79b-e925-f686517e4fe3_deviceMotion.csv
,,,0.0052152378932599,0.2119851611727608,-14.42,e630b096-5209-2a39-be53-e70d5042c429_deviceMotion.csv
0.1288419275546477,0.4726245440827453,-10.22,,,,ed274608-acbc-93a7-4aee-459c763ff762_deviceMotion.csv
0.0288039460444698,0.2308722074138817,-28.0,,,,f766dc4c-4363-5b99-678f-5e872b62da6a_deviceMotion.csv
0.0360697879694413,0.2641339685283068,-11.88,0.0229319856672911,0.1870754047415627,-11.96,f77061cd-d9a2-8431-7e28-f35975330687_deviceMotion.csv
0.0360697879694413,,,0.0094662367947529,0.1796048024775644,-29.62,fc4cf896-5278-020c-d4b3-d52d3d54630c_deviceMotion.csv
0.0283487453518052,0.2609551957285006,-31.24,0.0093294219210762,0.2192535168273182,-26.96,fde2f9b4-7503-d799-0d3c-05b512b5b960_deviceMotion.csv
