TIME,LABEL
946.000000000,Claps on
963.130000000,Claps off
964.110000000,Speach Danish
981.120000000,Speach English
991.640000000,Speach Danish
1015.510000000,Speach English
1037.490000000,Speach Danish
1069.220000000,Audience oo
1081.190000000,Claps On
1087.080000000,Speach
1089.120000000,Claps Off
1111.170000000,Audience Cough
1171.280000000,Speach English
1186.730000000,Speach Danish
1321.460000000,Audience Laugh
1355.150000000,Speach English
1390.340000000,Speach Danish
1430.180000000,Mistake beeps
1467.030000000,Audience oo
1467.610000000,Audience little clap
1468.590000000,Audience laugh
1477.230000000,Audience laugh
1503.580000000,Audience laugh
1520.680000000,Audience oo
1528.640000000,Audience cough
1569.170000000,Audience oo
1573.560000000,Speach English
1609.560000000,Speach Danish
1619.660000000,Beep Demo
1620.661333333,Beep Demo
1621.662000000,Beep Demo
1622.666666667,taps demo
1623.664000000,taps demo
1624.662666667,taps demo
1626.958666667,Audience laughter
1634.229333333,Beep
1635.223333333,Beep
1636.222000000,Beep
1637.230000000,taps 60 bpm 1
1638.224000000,taps 60 bpm 2
1639.232000000,taps 60 bpm 3
1646.456000000,Beep
1647.207333333,Beep
1647.958666667,Beep
1648.710000000,taps 80 bpm 1
1649.461333333,taps 80 bpm 2
1650.212666667,taps 80 bpm 3
1651.620000000,Clap
1653.070000000,Audience murmur
1668.070000000,Claps on
1677.610000000,Claps off
1688.010000000,pause
1694.630000000,Music Beethoven 1
2095.090000000,Pause
2113.320000000,Music Beethoven 2
2310.220000000,pause
2338.420000000,Music Beethoven 3
2791.510000000,pause
2807.400000000,Music Beethoven 4
3246.170000000,pause
3246.610000000,Audience murmure
3247.600000000,Claps on
3279.240000000,Speach Danish
3289.110000000,Claps off
3289.240000000,Audience laugh
3299.250000000,Audience Survey
3325.650000000,Survey time
3630.180000000,Speach Danish
3637.310000000,Pause
3641.690000000,Claps on
3653.360000000,Claps off
3687.740000000,pause
3691.730000000,Music Schnittke 1
4045.710000000,Pause
4056.000000000,Music Schnittke 2
4386.390000000,pause
4392.510000000,Music Schnittke 3
4582.670000000,siren
4585.310000000,Audience murmuring
4906.600000000,Pause
4919.600000000,Claps on
4978.360000000,Audience mumuring
4980.220000000,Claps off
4982.000000000,Speach Danish
4992.200000000,Audience survey
5009.540000000,App stop instructions
5030.120000000,Speach English
5033.730000000,App Stop
5039.440000000,Survey time
5161.700000000,Clapper (intermission)
5376.992000000,Left-Right clap (live stream)
6518.150000000,Speach Danish Start Capture
6529.480000000,Speach English Start Capture
6611.190000000,Beep mistake
6612.180000000,Beep mistake
6613.130000000,Beep mistake
6639.590000000,Claps on
6656.690000000,Claps off
6657.050000000,Speach Danish
6686.070000000,Audience laugh
6701.300000000,Audience laugh
6707.540000000,Audience laugh
6730.670000000,Audience laugh
6786.130000000,Speach English
6808.600000000,Audience Cough
6815.200000000,Audience oo
6822.512000000,Beep
6823.504000000,Beep
6824.512000000,Beep
6825.512000000,taps 60 bpm 1
6826.520000000,taps 60 bpm 2
6827.512000000,taps 60 bpm 3
6833.600000000,Audience laugh
6838.472000000,Beep
6839.216000000,Beep
6839.976000000,Beep
6840.720000000,taps 80 bpm 1
6841.464000000,taps 80 bpm 2
6842.216000000,taps 80 bpm 3
6844.160000000,audience claps
6865.160000000,audience laugh
6879.580000000,audience cough
6889.260000000,Clapper
6890.470000000,Audience laugh
6897.450000000,pause
6911.600000000,Music Bach
7649.040000000,pause
7656.690000000,Claps on
7678.330000000,Speach Danish
7679.020000000,Claps off
7686.570000000,Audience laugh
7698.580000000,Survey time
7799.270000000,Audience murmuring
7850.510000000,Speach Danish
7858.140000000,audience quiet
7885.510000000,audience laugh
7889.160000000,clapper
7902.030000000,pause
7908.510000000,Music Folk 1
8395.040000000,Audience murmuring
8396.210000000,Claps on
8413.540000000,Claps off
8413.720000000,Music Folk 2
8570.120000000,Audience murmuring
8570.490000000,Claps on
8590.030000000,Claps off
8590.070000000,Speach Danish
8606.020000000,pause
8608.030000000,Music Folk 3
8807.070000000,Audience laugh
8807.350000000,Claps on
8826.460000000,Claps off
8827.190000000,Speach Danish
8829.270000000,Audience cough
8854.270000000,pause
8860.010000000,Music Folk 4
9165.660000000,pause
9174.460000000,Claps on
9190.360000000,Claps off
9191.020000000,Speach Danish
9200.040000000,pause
9204.140000000,Music Folk 5
9382.050000000,pause
9385.490000000,Claps on
9399.110000000,Claps off
9400.050000000,Speach Danish
9409.120000000,Claps on
9412.600000000,Speach Danish
9413.440000000,Claps off
9415.030000000,Audience laugh
9448.280000000,Audience laugh
9452.350000000,Speach English
9477.240000000,Audience laugh
9482.340000000,Music Folk 6
9488.200000000,Audience stomp
9679.490000000,Claps on
9701.270000000,Claps iso
9786.510000000,Claps off
9789.290000000,Survey time
10560.110000000,Speach Danish - return sensors
