,taps,spoint,dips,sdips,beeps,sbeeps,spointless,time_concert,time
2021-10-26 17:47:40+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-26000.0,2021-10-26 17:47:40+00:00
2021-10-26 17:47:40.020000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-25980.0,2021-10-26 17:47:40.020000+00:00
2021-10-26 17:47:40.040000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-25960.0,2021-10-26 17:47:40.040000+00:00
2021-10-26 17:47:40.060000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-25940.0,2021-10-26 17:47:40.060000+00:00
2021-10-26 17:47:40.080000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-25920.0,2021-10-26 17:47:40.080000+00:00
2021-10-26 17:47:40.100000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-25900.0,2021-10-26 17:47:40.100000+00:00
2021-10-26 17:47:40.120000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-25880.0,2021-10-26 17:47:40.120000+00:00
2021-10-26 17:47:40.140000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-25860.0,2021-10-26 17:47:40.140000+00:00
2021-10-26 17:47:40.160000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-25840.0,2021-10-26 17:47:40.160000+00:00
2021-10-26 17:47:40.180000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-25820.0,2021-10-26 17:47:40.180000+00:00
2021-10-26 17:47:40.200000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-25800.0,2021-10-26 17:47:40.200000+00:00
2021-10-26 17:47:40.220000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-25780.0,2021-10-26 17:47:40.220000+00:00
2021-10-26 17:47:40.240000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-25760.0,2021-10-26 17:47:40.240000+00:00
2021-10-26 17:47:40.260000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-25740.0,2021-10-26 17:47:40.260000+00:00
2021-10-26 17:47:40.280000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-25720.0,2021-10-26 17:47:40.280000+00:00
2021-10-26 17:47:40.300000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-25700.0,2021-10-26 17:47:40.300000+00:00
2021-10-26 17:47:40.320000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-25680.0,2021-10-26 17:47:40.320000+00:00
2021-10-26 17:47:40.340000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-25660.0,2021-10-26 17:47:40.340000+00:00
2021-10-26 17:47:40.360000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-25640.0,2021-10-26 17:47:40.360000+00:00
2021-10-26 17:47:40.380000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-25620.0,2021-10-26 17:47:40.380000+00:00
2021-10-26 17:47:40.400000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-25600.0,2021-10-26 17:47:40.400000+00:00
2021-10-26 17:47:40.420000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-25580.0,2021-10-26 17:47:40.420000+00:00
2021-10-26 17:47:40.440000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-25560.0,2021-10-26 17:47:40.440000+00:00
2021-10-26 17:47:40.460000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-25540.0,2021-10-26 17:47:40.460000+00:00
2021-10-26 17:47:40.480000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-25520.0,2021-10-26 17:47:40.480000+00:00
2021-10-26 17:47:40.500000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-25500.0,2021-10-26 17:47:40.500000+00:00
2021-10-26 17:47:40.520000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-25480.0,2021-10-26 17:47:40.520000+00:00
2021-10-26 17:47:40.540000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-25460.0,2021-10-26 17:47:40.540000+00:00
2021-10-26 17:47:40.560000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-25440.0,2021-10-26 17:47:40.560000+00:00
2021-10-26 17:47:40.580000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-25420.0,2021-10-26 17:47:40.580000+00:00
2021-10-26 17:47:40.600000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-25400.0,2021-10-26 17:47:40.600000+00:00
2021-10-26 17:47:40.620000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-25380.0,2021-10-26 17:47:40.620000+00:00
2021-10-26 17:47:40.640000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-25360.0,2021-10-26 17:47:40.640000+00:00
2021-10-26 17:47:40.660000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-25340.0,2021-10-26 17:47:40.660000+00:00
2021-10-26 17:47:40.680000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-25320.0,2021-10-26 17:47:40.680000+00:00
2021-10-26 17:47:40.700000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-25300.0,2021-10-26 17:47:40.700000+00:00
2021-10-26 17:47:40.720000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-25280.0,2021-10-26 17:47:40.720000+00:00
2021-10-26 17:47:40.740000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-25260.0,2021-10-26 17:47:40.740000+00:00
