,taps,spoint,dips,sdips,beeps,sbeeps,spointless,time_concert
2021-10-26 19:14:00+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5154000.0
2021-10-26 19:14:00.020000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5154020.0
2021-10-26 19:14:00.040000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5154040.0
2021-10-26 19:14:00.060000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5154060.0
2021-10-26 19:14:00.080000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5154080.0
2021-10-26 19:14:00.100000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5154100.0
2021-10-26 19:14:00.120000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5154120.0
2021-10-26 19:14:00.140000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5154140.0
2021-10-26 19:14:00.160000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5154160.0
2021-10-26 19:14:00.180000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5154180.0
2021-10-26 19:14:00.200000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5154200.0
2021-10-26 19:14:00.220000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5154220.0
2021-10-26 19:14:00.240000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5154240.0
2021-10-26 19:14:00.260000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5154260.0
2021-10-26 19:14:00.280000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5154280.0
2021-10-26 19:14:00.300000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5154300.0
2021-10-26 19:14:00.320000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5154320.0
2021-10-26 19:14:00.340000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5154340.0
2021-10-26 19:14:00.360000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5154360.0
2021-10-26 19:14:00.380000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5154380.0
2021-10-26 19:14:00.400000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5154400.0
2021-10-26 19:14:00.420000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5154420.0
2021-10-26 19:14:00.440000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5154440.0
2021-10-26 19:14:00.460000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5154460.0
2021-10-26 19:14:00.480000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5154480.0
2021-10-26 19:14:00.500000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5154500.0
2021-10-26 19:14:00.520000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5154520.0
2021-10-26 19:14:00.540000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5154540.0
2021-10-26 19:14:00.560000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5154560.0
2021-10-26 19:14:00.580000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5154580.0
2021-10-26 19:14:00.600000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5154600.0
2021-10-26 19:14:00.620000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5154620.0
2021-10-26 19:14:00.640000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5154640.0
2021-10-26 19:14:00.660000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5154660.0
2021-10-26 19:14:00.680000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5154680.0
2021-10-26 19:14:00.700000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5154700.0
2021-10-26 19:14:00.720000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5154720.0
2021-10-26 19:14:00.740000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5154740.0
2021-10-26 19:14:00.760000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5154760.0
2021-10-26 19:14:00.780000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5154780.0
2021-10-26 19:14:00.800000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5154800.0
2021-10-26 19:14:00.820000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5154820.0
2021-10-26 19:14:00.840000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5154840.0
2021-10-26 19:14:00.860000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5154860.0
2021-10-26 19:14:00.880000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5154880.0
2021-10-26 19:14:00.900000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5154900.0
2021-10-26 19:14:00.920000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5154920.0
2021-10-26 19:14:00.940000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5154940.0
2021-10-26 19:14:00.960000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5154960.0
2021-10-26 19:14:00.980000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5154980.0
2021-10-26 19:14:01+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5155000.0
2021-10-26 19:14:01.020000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5155020.0
2021-10-26 19:14:01.040000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5155040.0
2021-10-26 19:14:01.060000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5155060.0
2021-10-26 19:14:01.080000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5155080.0
2021-10-26 19:14:01.100000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5155100.0
2021-10-26 19:14:01.120000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5155120.0
2021-10-26 19:14:01.140000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5155140.0
2021-10-26 19:14:01.160000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5155160.0
2021-10-26 19:14:01.180000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5155180.0
2021-10-26 19:14:01.200000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5155200.0
2021-10-26 19:14:01.220000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5155220.0
2021-10-26 19:14:01.240000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5155240.0
2021-10-26 19:14:01.260000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5155260.0
2021-10-26 19:14:01.280000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5155280.0
2021-10-26 19:14:01.300000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5155300.0
2021-10-26 19:14:01.320000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5155320.0
2021-10-26 19:14:01.340000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5155340.0
2021-10-26 19:14:01.360000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5155360.0
2021-10-26 19:14:01.380000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5155380.0
2021-10-26 19:14:01.400000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5155400.0
2021-10-26 19:14:01.420000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5155420.0
2021-10-26 19:14:01.440000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5155440.0
2021-10-26 19:14:01.460000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5155460.0
2021-10-26 19:14:01.480000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5155480.0
2021-10-26 19:14:01.500000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5155500.0
2021-10-26 19:14:01.520000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5155520.0
2021-10-26 19:14:01.540000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5155540.0
2021-10-26 19:14:01.560000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5155560.0
2021-10-26 19:14:01.580000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5155580.0
2021-10-26 19:14:01.600000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5155600.0
2021-10-26 19:14:01.620000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5155620.0
2021-10-26 19:14:01.640000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5155640.0
2021-10-26 19:14:01.660000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5155660.0
2021-10-26 19:14:01.680000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5155680.0
2021-10-26 19:14:01.700000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5155700.0
2021-10-26 19:14:01.720000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5155720.0
2021-10-26 19:14:01.740000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5155740.0
2021-10-26 19:14:01.760000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5155760.0
2021-10-26 19:14:01.780000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5155780.0
2021-10-26 19:14:01.800000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5155800.0
2021-10-26 19:14:01.820000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5155820.0
2021-10-26 19:14:01.840000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5155840.0
2021-10-26 19:14:01.860000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5155860.0
2021-10-26 19:14:01.880000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5155880.0
2021-10-26 19:14:01.900000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5155900.0
2021-10-26 19:14:01.920000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5155920.0
2021-10-26 19:14:01.940000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5155940.0
2021-10-26 19:14:01.960000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5155960.0
2021-10-26 19:14:01.980000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5155980.0
2021-10-26 19:14:02+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5156000.0
2021-10-26 19:14:02.020000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5156020.0
